method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,reward_delay,reward_energy,reward_qos,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
maddpg,MADDPG,1,104.89203691346175,2.0927155074390322,8224.853582625094,0.7872340425531915,0.2127659574468085,0.0,0.9844,0.98675,0.9369219824519801,0.9369219824519801,0.06307801754801992,1.0,1.0,0.0,0.2982188297977198,0.5535353616828081,0.06307801754801992,4217.0,3951.0,266.0,537.8556008399198,502.72719626062445,1105.4999999999238,-1.403999999999997,2.368457951835382,-0.04792343492420892,2.6666666666666616,-17.585745751888318,0.0,0.0,-3.0,-2.9999999999999996,-1.1100000000000008,
maddpg,MADDPG,2,102.1283056224052,2.194662112504897,8957.747917780402,0.8333333333333334,0.16666666666666666,0.0,0.9852666666666666,0.9876666666666667,0.9281636536631779,0.9281636536631779,0.07183634633682208,1.0,1.0,0.0,0.28625522104083606,0.6133441541258876,0.07183634633682208,4204.0,3902.0,302.0,525.923841649989,487.9837812332947,1079.9999999999277,-1.3259999999999972,2.554390851080517,-0.0019383394383394453,0.13333333333333333,-20.907296280153034,0.0,0.0,-3.0,-2.4,-1.2000000000000008,
maddpg,MADDPG,3,104.44437061655738,2.1008805827853134,8673.001089446674,0.7254901960784313,0.27450980392156865,0.0,0.9886166666666667,0.9911666666666666,0.9352843207232929,0.9352843207232929,0.06471567927670711,1.0,1.0,0.0,0.2981855130675556,0.57510586148744,0.06471567927670711,4203.0,3931.0,272.0,540.2736712072949,495.2549836583003,1097.699999999925,-1.0244999999999975,2.3591721705638617,-0.052574143692564745,0.0,-18.84784056131697,0.0,0.0,-2.0,-4.199999999999999,-1.1100000000000008,
maddpg,MADDPG,4,102.45598731326425,2.1165733157794326,8578.820477990348,0.8636363636363636,0.13636363636363635,0.0,0.9886333333333334,0.9908333333333333,0.9337203676826318,0.9337203676826318,0.06627963231736816,1.0,1.0,0.0,0.29619296129808625,0.4916033813251308,0.06627963231736816,4134.0,3860.0,274.0,529.6468086705077,486.31769283014273,1075.7999999999283,-1.0229999999999977,2.4260911630972504,0.050647922339098816,0.016666666666666666,-18.738160987469506,0.0,0.0,-3.0,-1.8,-1.1400000000000008,
maddpg,MADDPG,5,100.92006865303712,2.141164752025404,8030.911226956319,0.875,0.125,0.0,0.97535,0.97775,0.9196301564722618,0.9196301564722618,0.08036984352773827,1.0,1.0,0.0,0.28555053425225957,0.5145817951358674,0.08036984352773827,4218.0,3879.0,339.0,526.7278800781913,499.6363315956551,1061.9999999999304,-2.218499999999996,2.613519753999327,0.05152562236921113,3.8599999999999883,-25.05788398947117,0.0,0.0,-4.0,-1.8,-1.260000000000001,
pdqn,PDQN,1,98.34406609150656,2.1129081462914403,8343.987066631971,0.8759615384615385,0.12403846153846154,0.0009606147934678194,0.9212499999999998,0.97325,0.9317050035570311,0.9317050035570311,0.06829499644296894,1.0,1.0,0.0,0.2757335565938523,0.23503194237756062,0.06829499644296894,4217.0,3929.0,288.0,535.128958378672,498.2401940005211,1092.2999999999258,-7.087500000000008,68.036960628796,0.0033108303600991647,1.739999999999999,-18.58810200821556,0.0,-0.5,-2.0,-38.39999999999999,-27.33000000000028,
pdqn,PDQN,2,96.37092500887204,2.2181718179929204,8867.74626250706,0.9032586558044806,0.09674134419551934,0.001017293997965412,0.9273166666666666,0.9764166666666667,0.9215033301617507,0.9215033301617507,0.07849666983824928,1.0,1.0,0.0,0.26553131553453535,0.25485993690975334,0.07849666983824928,4204.0,3874.0,330.0,519.1144060584628,488.13380606239485,1063.1999999999302,-6.541500000000001,67.59674469025967,-0.1569372004894105,0.736666666666667,-22.66618609985308,0.0,-1.5,-2.0,-27.600000000000044,-26.61000000000025,
pdqn,PDQN,3,99.93699009775047,2.1158770149552137,8492.94914866917,0.8502202643171806,0.14977973568281938,0.0,0.9492833333333329,0.9833333333333333,0.9314775160599572,0.9314775160599572,0.06852248394004283,1.0,1.0,0.0,0.28378401237481415,0.28501157403048977,0.06852248394004283,4203.0,3915.0,288.0,532.7893007320071,497.2057627699627,1088.0999999999265,-4.564500000000013,40.29776283197702,0.022040973226156006,1.4333333333333333,-19.448398685496652,0.0,-1.0,-2.0,-30.00000000000005,-17.3699999999999,
pdqn,PDQN,4,98.14351762705421,2.1280753791131697,8458.154038118962,0.8701986754966887,0.12980132450331125,0.0013227513227513227,0.9456666666666665,0.9834166666666667,0.9315432994678278,0.9315432994678278,0.06845670053217223,1.0,1.0,0.0,0.2816202744810959,0.2224311655758746,0.06845670053217223,4134.0,3851.0,283.0,524.1293766929708,487.22768942821375,1070.3999999999292,-4.890000000000005,48.42565810267757,-0.09709621671161939,0.8333333333333343,-18.538608799400194,0.0,-1.5,-2.0,-28.500000000000046,-19.70999999999999,
pdqn,PDQN,5,93.54682892810412,2.1574489849056246,8323.315472994962,0.8769230769230769,0.12307692307692308,0.0016168148746968471,0.9001666666666666,0.9619166666666666,0.9172004744958482,0.9165481270744429,0.08274063537221432,0.9992887624466572,0.9992887624466572,0.0007112375533428165,0.26130147354157107,0.2714610572498174,0.08274063537221432,4215.0,3866.0,349.0,526.9296705614772,493.45026790507524,1055.0999999999315,-8.985000000000019,80.1227601221515,-0.0036170441221591715,1.8999999999999988,-25.37623048193966,0.0,-3.0,-2.0,-43.79999999999994,-32.49000000000047,
