method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,successful_task_throughput,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
pdqn,PDQN,3,77.61455300456146,2.1389347568372625,1.8265827798996748,4.283030444319788,6458.974862212233,0.6936936936936937,0.3063063063063063,0.20618556701030927,15360.0,446.0,0.029036458333333334,57.60000216960907,503.59999895095825,111.0,34.0,0.9672135417349637,18.61328125,0.9709635416666667,0.9002456074060079,0.8987174651075066,0.0995850622406639,0.9983025273481705,0.9983025273481705,0.0016974726518294984,0.005013020833333334,0.30078125,0.11363542029325294,0.3750035670253909,465.0,0.3750035670253909,0.577231223815168,0.3750035670253909,0.3750035670253909,0.0995850622406639,5293.0,4765.0,528.0,1.3555036436961665,158.8333333333269,13.420625953702714,-42.078449055727155,-29.658293421279385,-17.600000000000033,-5.036000153049827,-0.26666666666666644,
pdqn,PDQN,4,80.39021875686012,2.2410400346304433,1.8547583008962116,4.343074016473419,6538.151801407716,0.7647058823529411,0.23529411764705882,0.24166666666666667,15360.0,317.0,0.020638020833333333,72.00000286102295,388.99999833106995,119.0,28.0,0.9746744792753209,18.8359375,0.9793619791666667,0.8888479262672812,0.8878659547044743,0.11102927637635794,0.9988952310808322,0.9988952310808322,0.0011047689191677407,0.0059244791666666664,0.35546875,0.08790357848481536,0.4797120594047479,497.0,0.4797120594047479,0.7040106816930104,0.4797120594047479,0.4797120594047479,0.11047689191677408,5425.0,4822.0,600.0,1.3559004150575937,160.73333333332678,17.4946654400714,-43.691341248101196,-29.96977408195575,-20.100000000000158,-3.890000178478658,-0.18666666666666656,
pdqn,PDQN,5,84.44922584231244,1.983606428697172,1.7484256811015508,4.004864831644805,5946.619769328839,0.7630922693266833,0.23690773067331672,0.04075235109717868,15360.0,492.0,0.03203125,191.40000641345978,683.4000036716461,401.0,95.0,0.9555078122609605,19.2421875,0.96796875,0.9222991949073207,0.9214365881032548,0.07762813318368873,0.9990647212869435,0.9990647212869435,0.0009352787130564908,0.019921875,1.1953125,0.09826857425245822,0.43567360642063674,459.0,0.43567360642063674,0.5708623173451012,0.43567360642063674,0.43567360642063674,0.07706696595585484,5341.0,4926.0,412.0,1.2071903713619243,164.19999999999325,13.101290183070054,-42.198980762197046,-29.352420417186085,-13.833333333333295,-6.83400016091764,-0.6333333333333335,
attn_mappo,Attn+MAPPO,1,57.98448611574713,2.9814642217626712,2.0229489870536232,4.367311952417774,7650.400098825433,1.0,0.0,0.41935483870967744,15360.0,223.0,0.014518229166666667,37.20000147819519,260.2000012397766,36.0,0.0,0.9830598957526188,16.67578125,0.9854817708333333,0.8076049943246311,0.8065369355752882,0.19214056300774607,0.9986774985830342,0.9986774985830342,0.001322501416965804,0.00234375,0.140625,0.037729366650046586,0.737744067702792,511.0,0.737744067702792,0.88951160271004,0.737744067702792,0.737744067702792,0.19062913281692803,5286.0,4269.0,1009.0,1.7920824780570235,142.2999999999945,22.72702144924169,-42.063209822857154,-28.477328540329832,-33.90000000000064,-2.602000151760876,0.0,
attn_mappo,Attn+MAPPO,2,60.376227920438396,2.8102102719679696,1.9748967208100539,4.312268399076873,7384.944379028302,1.0,0.0,0.425,15360.0,300.0,0.01953125,48.00000190734863,348.000000834465,46.0,0.0,0.9773437499456729,17.12109375,0.98046875,0.8279183981866264,0.8266691814409657,0.17182195397963032,0.998491135420596,0.998491135420596,0.0015088645794039985,0.002994791666666667,0.1796875,0.07589021250031378,0.5342590259580704,511.0,0.5342590259580704,0.7700366549279168,0.5342590259580704,0.5342590259580704,0.17012448132780084,5294.0,4383.0,902.0,1.684906315087452,146.09999999999428,19.674436533408407,-42.45024312626005,-29.101300697654768,-30.366666666667335,-3.480000179260969,0.0,
attn_mappo,Attn+MAPPO,3,54.71718496221001,2.8612362863593885,2.0060609366344027,4.420683940039096,7663.738344936941,1.0,0.0,0.5081967213114754,15360.0,457.0,0.029752604166666665,35.40000140666962,492.39999985694885,30.0,0.0,0.9679427083426465,16.88671875,0.9702473958333333,0.8165848129958444,0.8153526970954357,0.18313843832516033,0.998491135420596,0.998491135420596,0.0015088645794039985,0.001953125,0.1171875,0.10190911626821987,0.4208213907675739,512.0,0.4208213907675739,0.7283190111655982,0.4208213907675739,0.4208213907675739,0.18181818181818182,5294.0,4323.0,964.0,1.772782406878774,144.0999999999944,18.644966685839357,-41.78905827003949,-28.94805868521937,-32.36666666666739,-4.9240001402795315,0.0,
attn_mappo,Attn+MAPPO,4,54.209887177770725,2.9870912651255312,2.023763235169106,4.3727226753422554,7955.62021729107,1.0,0.0,0.5671641791044776,15360.0,259.0,0.016861979166666666,40.20000159740448,299.20000076293945,29.0,0.0,0.9805208332836628,16.8515625,0.9831380208333333,0.7952073732718894,0.7943288528816056,0.20456637819922666,0.9988952310808322,0.9988952310808322,0.0011047689191677407,0.0018880208333333333,0.11328125,0.041431943937362985,0.7156664202448041,512.0,0.7156664202448041,0.8677793371037561,0.7156664202448041,0.7156664202448041,0.20290922482047505,5425.0,4314.0,1102.0,1.8441400596409527,143.7999999999944,22.215151029856184,-42.866414269703604,-28.91351926389515,-37.03333333333379,-2.9920001598075032,0.0,
attn_mappo,Attn+MAPPO,5,73.84323886978382,2.467048459698873,1.9233516142793197,4.162814399269598,6815.317509365675,1.0,0.0,0.28421052631578947,15360.0,524.0,0.03411458333333333,57.0000022649765,581.0000003576279,68.0,0.0,0.9621744791433836,18.21484375,0.9658854166666667,0.8738755622188905,0.8722409277964833,0.12588851477740368,0.998129442573887,0.998129442573887,0.0018705574261129816,0.004427083333333333,0.265625,0.07386063738504402,0.5438739454018322,512.0,0.5438739454018322,0.8023033125443081,0.5438739454018322,0.5438739454018322,0.12457912457912458,5336.0,4663.0,666.0,1.461573559803919,155.43333333332708,20.538964801134306,-43.74799751884276,-30.13772992362872,-22.433333333333607,-5.810000117868185,0.0,
mappo_no_han,MAPPO,1,58.56395789072849,2.9912742757623954,2.0474572167654754,4.320788607860828,7389.117188974312,1.0,0.0,0.35384615384615387,15360.0,220.0,0.014322916666666666,39.000001072883606,259.00000071525574,42.0,0.0,0.9831380207867672,16.6953125,0.9856770833333334,0.8087038789025544,0.8074815794445495,0.19100699036463253,0.998488569809182,0.998488569809182,0.0015114301908180617,0.002734375,0.1640625,0.04200725654250793,0.7122862148023855,512.0,0.7122862148023855,0.8775624386404763,0.7122862148023855,0.7122862148023855,0.1893066313999622,5285.0,4274.0,1002.0,1.7288528752864558,142.46666666666115,22.465598429196348,-42.72254714888117,-27.355763807550396,-33.70000000000065,-2.5900001572445035,0.0,
mappo_no_han,MAPPO,2,57.63015809612989,2.9088775858593894,2.0068718596406048,4.272995641482029,7144.664479098786,1.0,0.0,0.34065934065934067,15360.0,300.0,0.01953125,54.6000018119812,354.6000008583069,60.0,0.0,0.9769140624441206,16.84375,0.98046875,0.814968814968815,0.8132780082987552,0.18464730290456433,0.9979253112033195,0.9979253112033195,0.002074688796680498,0.00390625,0.234375,0.07425791273910452,0.5419824169481292,511.0,0.5419824169481292,0.7742319078236614,0.5419824169481292,0.5419824169481292,0.18332704639758582,5291.0,4312.0,972.0,1.6569258996054699,143.73333333332775,19.781625244894734,-42.395459488625164,-27.310009598038853,-32.63333333333404,-3.5460001872852445,0.0,
