method,display_name,episode,reward,avg_delay,avg_success_delay,p95_success_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,blocked_time_ratio,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,handovers_per_user_minute,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,jain_mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_task_success,reward_load_balance,penalty_delay,penalty_energy,penalty_task_failure,penalty_service_interruption,penalty_failed_handover,selected_offload
pdqn,PDQN,1,74.53345446047024,2.3636863339206524,1.9372121229104788,4.452810746453757,9311.241361464887,0.9027777777777778,0.09722222222222222,0.03940886699507389,20480.0,243.0,0.011865234375,121.80000495910645,364.80000281333923,216.0,21.0,0.9821874998626299,0.988134765625,0.8690222789839648,0.8682830001417836,0.13086629802920743,0.9991492981709911,0.9991492981709911,0.0008507018290089324,0.009521484375,0.5712890625,0.06267112818550134,0.5991243032307104,505.0,0.5991243032307104,0.8135444550595431,0.5991243032307104,0.5991243032307104,0.1305827307528711,7047.0,6124.0,921.0,1.5204509081425355,153.10000000001767,20.541997490253486,-43.11098717739159,-30.081554638821167,-23.074999999999758,-2.736000115983188,-0.10500000000000007,
pdqn,PDQN,2,69.17223024569103,2.39243249024989,1.8927241153431695,4.48100936730613,9263.497264769921,0.9013452914798207,0.09865470852017937,0.04739336492890995,20480.0,374.0,0.01826171875,126.60000491142273,500.6000009775162,223.0,22.0,0.9755566405772698,0.98173828125,0.865324638502977,0.8648342306602437,0.13459903655426467,0.9994332672145083,0.9994332672145083,0.0005667327854916407,0.009814453125,0.5888671875,0.10215543241238614,0.4198275931023628,505.0,0.4198275931023628,0.6314594376662892,0.4198275931023628,0.4198275931023628,0.13431567016151885,7054.0,6104.0,948.0,1.5176109542545744,152.60000000001756,15.944350801073881,-42.22136805616964,-29.53625129990437,-23.74999999999972,-3.7545001627877355,-0.11000000000000007,
pdqn,PDQN,3,66.70992335514165,2.3859762865336,1.9228180928384035,4.510556567474639,9469.801152265636,0.8552631578947368,0.14473684210526316,0.03940886699507389,20480.0,428.0,0.0208984375,121.80000495910645,549.8000012636185,228.0,33.0,0.9731542968132999,0.9791015625,0.8596391532888195,0.8585414301929626,0.14018161180476732,0.9987230419977299,0.9987230419977299,0.0012769580022701475,0.009521484375,0.5712890625,0.1119096683687259,0.38156021709423626,501.0,0.38156021709423626,0.6400207910405818,0.38156021709423626,0.38156021709423626,0.14003972758229286,7039.0,6051.0,987.0,1.564997711496552,151.27500000001726,16.032520815566652,-42.10863016087898,-29.500466263817145,-24.699999999999665,-4.123500181362033,-0.16500000000000012,
pdqn,PDQN,4,69.22618336614687,2.4928171810373563,1.982388830479129,4.541619466247411,9746.554117015776,0.7654320987654321,0.2345679012345679,0.021052631578947368,20480.0,225.0,0.010986328125,114.000004529953,339.0000020265579,243.0,57.0,0.983447265526047,0.989013671875,0.8504997223764575,0.8497919556171983,0.149375866851595,0.9991678224687933,0.9991678224687933,0.0008321775312066575,0.00908203125,0.544921875,0.06132859772698448,0.6060201460788014,510.0,0.6060201460788014,0.802303049759926,0.6060201460788014,0.6060201460788014,0.1492371705963939,7204.0,6127.0,1076.0,1.5907547114437368,153.1750000000177,20.458727768878152,-44.2490514297274,-30.40599205876606,-26.92499999999954,-2.542500102892518,-0.2850000000000002,
pdqn,PDQN,5,74.05546893924475,2.305634873824076,1.9022846707042558,4.383500760416316,8875.953164547076,0.7692307692307693,0.23076923076923078,0.022298456260720412,20480.0,591.0,0.028857421875,349.8000121116638,940.8000081777573,741.0,171.0,0.9540624996006954,0.971142578125,0.8875665079809577,0.8863255033557047,0.11227628635346756,0.9986017897091722,0.9986017897091722,0.0013982102908277406,0.02783203125,1.669921875,0.09922736414460823,0.4317320214144496,496.0,0.4317320214144496,0.6946103516999566,0.4317320214144496,0.4317320214144496,0.11213646532438479,7142.0,6339.0,802.0,1.4002134665636656,158.4750000000189,17.226336722158912,-43.7669399870381,-29.887927201153676,-20.07499999999993,-7.05600017355755,-0.8600000000000007,
mappo_no_han,MAPPO,1,38.45234994520433,3.453667191507712,2.121098466572912,4.614901189502305,10939.37143810933,1.0,0.0,0.4625,20480.0,272.0,0.01328125,48.00000202655792,320.0000014305115,43.0,0.0,0.9843749999301508,0.98671875,0.7354820389038762,0.7344392457110449,0.2641429179072735,0.9985821636183184,0.9985821636183184,0.001417836381681554,0.002099609375,0.1259765625,0.029226796762992002,0.7906590835706951,512.0,0.7906590835706951,0.921224509330907,0.7906590835706951,0.7906590835706951,0.2625832978874238,7043.0,5180.0,1852.0,2.111847767974774,129.5000000000123,23.583347438871385,-40.01463312906286,-25.64136508165603,-46.574999999998425,-2.4000000986270607,0.0,
mappo_no_han,MAPPO,2,45.11092807895329,3.2747712724090703,2.063738342539595,4.510729984524673,10485.173387483917,1.0,0.0,0.5111111111111111,20480.0,464.0,0.02265625,54.00000214576721,517.9999998807907,44.0,0.0,0.9747070312558208,0.97734375,0.7713920817369093,0.7701898554831397,0.2282516293567583,0.998441484839898,0.998441484839898,0.0015585151601020118,0.0021484375,0.12890625,0.05200006738829689,0.6556287696357515,512.0,0.6556287696357515,0.8282628913155593,0.6556287696357515,0.6556287696357515,0.2269764805894021,7047.0,5436.0,1602.0,1.9288398431721703,135.90000000001376,21.203530017678403,-41.10648190554634,-26.726120529507355,-40.27499999999878,-3.88500015437603,0.0,
mappo_no_han,MAPPO,3,39.632701596579864,3.288418295383435,2.070147458434327,4.587281689508699,10850.377602835239,1.0,0.0,0.5443037974683544,20480.0,469.0,0.022900390625,46.20000159740448,515.1999999284744,36.0,0.0,0.9748437500034924,0.977099609375,0.758130947308621,0.7573779795686719,0.2416288308740068,0.9990068104426788,0.9990068104426788,0.0009931895573212259,0.0017578125,0.10546875,0.10192267942230838,0.4207666320930637,512.0,0.4207666320930637,0.7510751145030583,0.4207666320930637,0.4207666320930637,0.24077752553916004,7041.0,5338.0,1697.0,2.03266721671698,133.4500000000132,19.227522931278333,-40.21457389422391,-26.39124833935873,-42.57499999999865,-3.8640001616440713,0.0,
mappo_no_han,MAPPO,4,32.34136904915795,3.6555077028125598,2.10351434753543,4.546408854200842,11424.279028100076,1.0,0.0,0.625,20480.0,272.0,0.01328125,48.00000190734863,320.00000154972076,30.0,0.0,0.9843749999243301,0.98671875,0.7146625937239656,0.7138696255201109,0.28502080443828015,0.9988904299583912,0.9988904299583912,0.0011095700416088765,0.00146484375,0.087890625,0.03386697554558432,0.7613884075067701,512.0,0.7613884075067701,0.8926377053883597,0.7613884075067701,0.7613884075067701,0.28391123439667126,7202.0,5147.0,2047.0,2.2195995780260493,128.67500000001212,22.85152525794208,-39.86164449914354,-25.548512365008648,-51.37499999999815,-2.4000000967644155,0.0,
mappo_no_han,MAPPO,5,49.994633230380714,3.147762528244777,2.100267447066917,4.515560613796786,10312.97027584377,1.0,0.0,0.40384615384615385,20480.0,602.0,0.02939453125,62.400002241134644,664.4000004529953,62.0,0.0,0.9675585937278811,0.97060546875,0.7877642447151056,0.7867729306487695,0.21196868008948547,0.9987416107382551,0.9987416107382551,0.0012583892617449664,0.00302734375,0.181640625,0.057781924072952844,0.6245268512958094,512.0,0.6245268512958094,0.8705686366095016,0.6245268512958094,0.6245268512958094,0.2112695749440716,7143.0,5627.0,1511.0,1.8327652880475866,140.67500000001485,22.286557097203218,-42.83763683625335,-27.246287865580154,-37.89999999999892,-4.983000057283789,0.0,
