method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,total_user_seconds,blocked_user_seconds,handover_interruption_seconds,service_interruption_seconds,total_handovers,failed_handovers,service_continuity_rate,service_availability_rate,task_completion_rate,task_success_rate,task_failure_rate,task_settlement_rate,task_resolution_rate,pending_task_rate,handover_frequency,load_balance_variance,load_balance_coefficient,load_variance_sample_count,mec_load_fairness,active_load_balance_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,energy_per_successful_task,reward_delay,reward_energy,reward_qos,reward_task_success,reward_deadline_slack,reward_service_continuity,reward_handover,reward_load_balance,reward_enqueue,penalty_deadline,penalty_task_failure,penalty_queue_full,penalty_invalid_action,penalty_blocked,penalty_failed_handover,penalty_handover_cost,selected_offload
pdqn,PDQN,3,-43.04109819834953,2.733498169095053,501.98324531410435,0.7504409171075838,0.2495590828924162,0.000881057268722467,12000.0,772.0,680.400000000001,1452.4000000000049,1134.0,283.0,0.8789666666666662,0.9356666666666666,0.7982853060252441,0.7975255769688318,0.2015227218653343,0.9990482988341661,0.9990482988341661,0.0009517011658339282,0.0945,0.005941251921428356,0.9535733151508358,304.0,0.9535733151508358,0.9535733151508358,0.9535733151508358,0.2015227218653343,4199.0,3352.0,847.0,0.14975633810086644,-741.1852956203356,-9.363659851632505,329.799999999996,838.0,121.07307109192402,-10.893000000000002,54.54798069870477,0.009246274357804247,0.0,-166.91992237542382,-508.20000000000783,-117.59999999999924,-2.5,-2.0,-83.39999999999957,-25.610000000000216,
min_distance,Min-Distance,1,-34.98425955367231,2.7432909198611064,635.5222329251176,0.6857142857142857,0.3142857142857143,0.0,12000.0,171.0,42.00000000000004,212.9999999999998,70.0,22.0,0.9822500000000001,0.98575,0.8193028219113113,0.8193028219113113,0.18069717808868865,1.0,1.0,0.0,0.005833333333333334,0.0058851162222068225,0.9540018871820877,347.0,0.9540018871820877,0.9540018871820877,0.9540018871820877,0.18069717808868865,4217.0,3455.0,762.0,0.18394275916790667,-777.5427506323311,-10.116264707112006,406.54999999999626,863.75,127.50095651460686,-1.5974999999999973,2.825983701419131,0.0,0.0,-167.2418192222656,-457.2000000000059,-238.2000000000033,0.0,-3.0,-6.599999999999998,-1.440000000000001,1.0
min_distance,Min-Distance,2,-39.27626244229628,2.839847698812851,712.8412203224882,0.8,0.2,0.0,12000.0,150.0,30.00000000000002,179.99999999999991,50.0,10.0,0.985,0.9875,0.8082322150844635,0.8080399619410086,0.1917221693625119,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.004166666666666667,0.005988942163867262,0.9532093682387771,355.0,0.9532093682387771,0.9532093682387771,0.9532093682387771,0.1917221693625119,4203.0,3397.0,806.0,0.2098443392176886,-782.6697106255781,-10.078425252814737,365.649999999995,849.25,124.97320682522395,-1.3499999999999983,2.361199825435109,0.03199999740600588,0.0,-183.63963504626312,-483.6000000000069,-267.3000000000044,0.0,-3.0,-2.9999999999999996,-1.2050000000000007,1.0
min_distance,Min-Distance,3,-37.71365358758844,2.7752862029093253,688.0848704780152,0.6507936507936508,0.3492063492063492,0.0,12000.0,114.0,37.80000000000004,151.79999999999978,63.0,22.0,0.9873500000000001,0.9905,0.8152820756962628,0.814894123245301,0.18463002617178206,0.999524149417083,0.999524149417083,0.0004758505829169641,0.00525,0.005955432818418826,0.953465079816112,342.0,0.953465079816112,0.953465079816112,0.953465079816112,0.18463002617178206,4201.0,3425.0,776.0,0.2009006921103694,-783.7045259889329,-10.52004357972746,390.6499999999969,856.25,125.19909479445685,-1.1384999999999974,2.4262740577964674,0.029508197182642783,0.0,-174.64348862148282,-465.6000000000062,-271.50000000000455,0.0,-2.0,-6.599999999999998,-1.2350000000000008,1.0
han_maddpg,HAN+MADDPG,1,-35.53741286101224,2.7329804812863188,554.2196769903346,0.7454545454545455,0.2545454545454545,0.0,12000.0,753.0,66.00000000000009,819.0000000000008,110.0,28.0,0.93175,0.93725,0.7941664690538297,0.7941664690538297,0.20583353094617027,1.0,1.0,0.0,0.009166666666666667,0.005787125167723343,0.9547504577180839,289.0,0.9547504577180839,0.9547504577180839,0.9547504577180839,0.20583353094617027,4217.0,3349.0,868.0,0.16548810898487148,-722.7176356060546,-10.568951372536617,316.4499999999996,837.25,124.16779136023767,-6.1425000000000125,4.982361702637352,0.016677233494497713,0.0,-163.77069880648008,-520.8000000000083,-122.99999999999919,0.0,-3.0,-8.399999999999999,-2.4749999999999996,
han_maddpg,HAN+MADDPG,2,-43.486716379122,2.8695780824512656,641.1425314355326,0.7523809523809524,0.24761904761904763,0.0,12000.0,840.0,63.000000000000085,903.0000000000006,105.0,26.0,0.92475,0.9299999999999999,0.7751605995717344,0.774976213130352,0.2247859181731684,0.9997621313035204,0.9997621313035204,0.0002378686964795433,0.00875,0.00588786006893421,0.9539809347161051,276.0,0.9539809347161051,0.9539809347161051,0.9539809347161051,0.2247859181731684,4203.0,3258.0,945.0,0.1967902183657252,-731.3996460269888,-10.38379415517197,247.5000000000042,814.5,120.64935697758155,-6.772499999999992,4.739430411969828,0.03430343827770405,0.0,-203.08509365877634,-567.00000000001,-148.49999999999991,0.0,-3.0,-7.799999999999997,-2.389999999999999,
han_maddpg,HAN+MADDPG,3,-49.297526519037454,2.9264369283654483,708.2930931407609,0.7006802721088435,0.29931972789115646,0.0,12000.0,964.0,88.19999999999996,1052.2000000000007,147.0,44.0,0.9123166666666667,0.9196666666666666,0.7554128003806805,0.7554128003806805,0.24458719961931955,1.0,1.0,0.0,0.01225,0.005809499903373236,0.9545794827356477,266.0,0.9545794827356477,0.9545794827356477,0.9545794827356477,0.24458719961931955,4203.0,3175.0,1028.0,0.22308443878449163,-740.8221278428267,-11.26634011592371,176.95000000000454,793.75,115.64476835031704,-7.891500000000001,6.467742309056943,0.015219768157483249,0.0,-226.41127920580797,-616.8000000000119,-130.49999999999923,0.0,-2.0,-13.20000000000001,-3.104999999999995,
random,Random,1,-131.4664427745805,3.0523935512086844,363.4753153486449,0.7542548775425488,0.24574512245745123,0.0009676527508985347,12000.0,3018.0,4336.199999999998,7354.2000000000035,7227.0,1776.0,0.38714999999999966,0.7484999999999999,0.674264007597341,0.6734645482570548,0.3253497747213659,0.9988143229784207,0.9988143229784207,0.0011856770215793219,0.60225,0.005872748840713906,0.9540963321235133,250.0,0.9540963321235133,0.9540963321235133,0.9540963321235133,0.3253497747213659,4212.0,2840.0,1372.0,0.12798426596783272,-801.3944055282759,-7.099418934055386,-113.19999999999536,710.0,97.19223853316906,-55.15650000000021,342.87813069483724,0.6921159385957638,0.0,-279.06951158636394,-823.2000000000197,-62.69999999999976,-10.5,-2.0,-526.5000000000115,-164.2500000000049,1.0
random,Random,2,-138.48191330707206,3.202076273983503,446.2350544643853,0.7361628907370232,0.26383710926297677,0.0010027216731127346,12000.0,3242.0,4184.399999999995,7426.400000000002,6974.0,1840.0,0.3811333333333331,0.7298333333333333,0.6655550262029538,0.6646051379638439,0.3339676498572788,0.9985727878211227,0.9985727878211227,0.0014272121788772598,0.5811666666666667,0.006080300674560409,0.9525125465836785,303.0,0.9525125465836785,0.9525125465836785,0.9525125465836785,0.3339676498572788,4198.0,2794.0,1404.0,0.15971190209892103,-803.363063067742,-7.093157841327396,-143.89999999999736,698.5,94.23292798558514,-55.698000000000015,324.91394711671086,0.7091098130293598,0.0,-308.7436713466028,-842.4000000000204,-101.69999999999939,-10.5,-2.0,-545.7000000000086,-154.87500000000446,1.0
random,Random,3,-140.55531841183384,3.1448123851691774,449.97985055791366,0.7357706093189964,0.2642293906810036,0.0010025780578630766,12000.0,3156.0,4184.999999999999,7341.000000000001,6975.0,1843.0,0.3882499999999999,0.737,0.6584784164082995,0.656911729716869,0.34070901736854625,0.9976207470854151,0.9976207470854151,0.0023792529145848203,0.58125,0.005870871856576559,0.9541106667282757,300.0,0.9541106667282757,0.9541106667282757,0.9541106667282757,0.34070901736854625,4193.0,2761.0,1432.0,0.16297712805429687,-814.4337403270139,-7.055936306954098,-168.94999999999413,690.25,93.67423439035865,-55.05750000000024,322.84566621630415,0.42744800385198534,0.0,-315.65223312094764,-859.2000000000211,-110.09999999999931,-7.5,-1.0,-548.4000000000082,-154.7500000000045,1.0
joint_greedy,Joint Greedy,1,-104.14231124115717,4.153442290845877,2019.7558454724845,0.75,0.25,0.0,12000.0,890.0,28.80000000000002,918.8000000000002,48.0,12.0,0.9234333333333333,0.9258333333333333,0.5693950177935944,0.5691249703580744,0.4304007588332938,0.9995257291913683,0.9995257291913683,0.00047427080863172874,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.4304007588332938,4215.0,2400.0,1815.0,0.8415649356135352,-933.8262722955733,-21.17993461377088,-489.0000000000153,600.0,84.38674633514621,-6.890999999999961,2.2838458910554658,0.0,0.0,-580.0106101400039,-1089.0000000000175,0.0,0.0,-3.0,-3.599999999999999,-1.0800000000000007,
joint_greedy,Joint Greedy,2,-111.23627539067802,4.34287903238106,2153.1547241339836,0.8260869565217391,0.17391304347826086,0.0,12000.0,640.0,27.60000000000002,667.6000000000003,46.0,8.0,0.9443666666666667,0.9466666666666667,0.5509281294621609,0.5506660323501428,0.4488582302568982,0.9995242626070409,0.9995242626070409,0.0004757373929590866,0.003833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.4488582302568982,4202.0,2315.0,1887.0,0.9300884337511808,-980.1796574234864,-20.2042811321219,-553.4500000000168,578.75,83.12536345313569,-5.006999999999975,2.430073840435945,0.0,0.0,-651.7069816156346,-1132.200000000011,0.0,0.0,-3.0,-2.4,-1.1400000000000008,
