method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
maddpg,MADDPG,1,383.82690438991443,3.7668800755142504,3550.284471172181,0.873015873015873,0.12698412698412698,0.0,0.8337100000000002,0.8356,0.6075596816976128,0.9998673915926269,0.00013260840737302744,0.6658345238095235,0.3924403183023873,7540.0,4581.0,2959.0,
maddpg,MADDPG,2,348.60331733542836,3.913516088052122,3650.3321311306177,0.873015873015873,0.12698412698412698,0.0,0.8337100000000002,0.8356,0.5947467166979362,0.9998660056277636,0.00013399437223636607,0.6657123015873012,0.4052532833020638,7462.0,4438.0,3024.0,
maddpg,MADDPG,3,386.4134270505724,3.7451603273796263,3544.3261048238937,0.8333333333333334,0.16666666666666666,0.0,0.8334700000000002,0.83545,0.6123365473517369,0.9998679344955098,0.00013206550449022716,0.6654742063492062,0.38766345264826313,7571.0,4636.0,2935.0,
maddpg,MADDPG,4,365.5485122249749,3.8660189403182317,3623.4262518132628,0.859375,0.140625,0.0,0.8336300000000001,0.83555,0.6021605761536409,0.9997333333333334,0.0002666666666666667,0.6649718253968251,0.397839423846359,7498.0,4515.0,2983.0,
maddpg,MADDPG,5,384.3993981610475,3.8150258919173416,3607.1069808078464,0.9016393442622951,0.09836065573770492,0.0,0.8338700000000001,0.8357,0.6113167636171338,1.0,0.0,0.6662718253968251,0.3886832363828662,7564.0,4624.0,2940.0,
maddpg,MADDPG,6,381.05559200772916,3.8604414089497703,3554.0188721143822,0.873015873015873,0.12698412698412698,0.0,0.8337100000000002,0.8356,0.6183299389002037,0.9997285190715353,0.00027148092846477533,0.6661123015873011,0.38167006109979634,7365.0,4554.0,2811.0,
maddpg,MADDPG,7,366.74460665759557,3.875229763542574,3605.901294976365,0.9016393442622951,0.09836065573770492,0.0,0.8338700000000001,0.8357,0.6033046749059645,0.9998656816655473,0.0001343183344526528,0.6659146825396822,0.3966953250940355,7444.0,4491.0,2953.0,
maddpg,MADDPG,8,364.9526280359577,3.901271087650957,3661.3429157604237,0.9016393442622951,0.09836065573770492,0.0,0.8338700000000001,0.8357,0.6044219499200852,0.9998668264748968,0.00013317352510320947,0.6651111111111108,0.39557805007991476,7508.0,4538.0,2970.0,
maddpg,MADDPG,9,377.7668383634826,3.8013922014735626,3534.344399320045,0.7971014492753623,0.2028985507246377,0.0,0.8332300000000001,0.8352999999999999,0.6121269158375907,0.9998655733297486,0.00013442667025137788,0.6652325396825393,0.38787308416240923,7438.0,4553.0,2885.0,
maddpg,MADDPG,10,387.00216791225745,3.778607109892133,3536.3092422289424,0.8208955223880597,0.1791044776119403,0.0,0.8333900000000002,0.8354,0.612929077066916,0.9997329416477501,0.00026705835224996664,0.6654686507936505,0.38707092293308404,7487.0,4589.0,2898.0,
