method,display_name,episode,reward,avg_delay,total_energy,handover_success_rate,handover_failure_rate,forced_termination_rate,service_continuity_rate,service_availability_rate,task_completion_rate,task_resolution_rate,pending_task_rate,effective_latency_score,avg_load_balance_score,deadline_violation_rate,resolved_tasks,completed_tasks,deadline_violations,selected_offload
mappo_no_han,MAPPO (no HAN),1,404.8362833990259,2.2315059951399268,1585.386007222165,0.88,0.12,0.0,0.9697999999999999,0.98105,0.5398800266607421,0.9997778764993336,0.0002221235006663705,0.16198619225421296,0.5561974552535754,0.46001776988005333,9002.0,4860.0,4142.0,
mappo_no_han,MAPPO (no HAN),2,406.4365508738336,2.255298952079308,1638.1661715765981,0.8775510204081632,0.12244897959183673,0.0,0.9710599999999999,0.98135,0.539054753773273,0.9997797114219628,0.00022028857803722878,0.16076532627373447,0.5892064880129707,0.4608437052538826,9077.0,4893.0,4184.0,
mappo_no_han,MAPPO (no HAN),3,384.1460034117753,2.231665326994702,1562.4314312501315,0.875,0.125,0.0,0.9695299999999999,0.98105,0.5297843965325628,0.999888876541838,0.00011112345816201801,0.1589226409120223,0.5482909825840325,0.4701633514834982,8998.0,4767.0,4231.0,
mappo_no_han,MAPPO (no HAN),4,396.21116226436936,2.251878918561142,1600.7525711276353,0.8903743315508021,0.10962566844919786,0.0,0.9699799999999998,0.9812,0.5366621682411156,0.9998875520071967,0.00011244799280332846,0.16005916825514155,0.580273683246367,0.46328573034971327,8892.0,4772.0,4120.0,
mappo_no_han,MAPPO (no HAN),5,406.66797337004846,2.2346111249049594,1621.8083759472722,0.896,0.104,0.0,0.9702,0.98145,0.5400862545615394,1.0,0.0,0.16199526432748593,0.5966257637788805,0.4599137454384607,9043.0,4884.0,4159.0,
mappo_no_han,MAPPO (no HAN),6,414.956200409754,2.248109893566392,1616.993654659786,0.8817204301075269,0.11827956989247312,0.0,0.9700399999999999,0.9812,0.5493240978661602,1.0,0.0,0.16405428552449872,0.5600155913086418,0.4506759021338398,8951.0,4917.0,4034.0,
mappo_no_han,MAPPO (no HAN),7,405.3654644450237,2.24473129750546,1612.9488476127876,0.8740359897172236,0.12596401028277635,0.0,0.9692799999999999,0.98095,0.5390503660971822,0.9997781721384206,0.00022182786157941438,0.160991708696798,0.609667465867465,0.46084738243123335,9014.0,4859.0,4155.0,
mappo_no_han,MAPPO (no HAN),8,393.2467142698671,2.2402174044056204,1634.5885982907546,0.8826666666666667,0.11733333333333333,0.0,0.9699999999999999,0.98125,0.5381539486837721,0.9996668887408394,0.00033311125916055963,0.1610495154826499,0.5550185974223824,0.46169220519653564,9003.0,4845.0,4158.0,
mappo_no_han,MAPPO (no HAN),9,401.1918051448274,2.2297982337405284,1559.4316642546548,0.8833333333333333,0.11666666666666667,0.0,0.9704499999999999,0.98125,0.5410244786944697,0.9996601336807522,0.00033986631924776253,0.16250512412929985,0.576725898496738,0.4588195309844794,8824.0,4774.0,4050.0,
mappo_no_han,MAPPO (no HAN),10,392.33225139824845,2.238803501550186,1597.4420048872435,0.8760806916426513,0.1239193083573487,0.0,0.9707399999999999,0.98115,0.5332216638749302,0.9997767109523278,0.0002232890476722117,0.159782468728086,0.6132793924477339,0.4666741096349224,8955.0,4775.0,4180.0,
