seed,method,avg_delay,task_success_rate,deadline_violation_rate,service_continuity_rate,handover_failure_rate,handover_frequency,energy_per_resolved_task,active_load_balance_score,mec_activity_score,mean_offload_ratio
45,mappo_no_han,2.6651708562643224,0.8304510299714855,0.16930855901509156,0.9823550000000001,0.24302257655135567,0.0044083333333333335,0.1916965533696432,0.006158202768697449,0.08680976211093366,0.8626230359077454
45,min_distance,2.826875100345089,0.799739904948283,0.19968354906978888,0.9596116666666665,0.2748738929386919,0.004883333333333332,0.15468238304264695,0.012794949258286276,0.10452861716039479,1.0
45,random,3.1294975865916337,0.6519873403014737,0.3456431844396505,0.37079000000000006,0.25709860489562397,0.5776666666666667,0.08982869137350369,0.016794126717262645,0.08473484649633367,1.0
45,joint_greedy,4.229090148570057,0.5454397592717222,0.4536005293689042,0.8878600000000001,0.18687343344238544,0.0036083333333333336,0.4654045285239211,0.0,0.0,0.08089791983366013
45,full_local,4.250862985176233,0.5145417645087998,0.4837541662508157,0.8370033333333333,0.1596720578551974,0.00305,0.4395104326666257,0.0,0.0,0.0
46,han_mappo_latency_priority_g1_300k_600s_u20,2.6472581878069152,0.8308847979425549,0.1689459489318778,0.9841700000000001,0.23818962562190027,0.004216666666666667,0.2260963136560268,0.005324869451583067,0.07625420671266814,0.780783474445343
46,attn_mappo,2.5514601706044884,0.8441146667325509,0.15574002650203514,0.9837383333333334,0.2302963842020585,0.0058249999999999994,0.21954548471329074,0.002994837742035658,0.06454124400392175,0.7553213834762573
46,mappo_no_han,2.6651708562643224,0.8304510299714855,0.16930855901509156,0.9823550000000001,0.24302257655135567,0.0044083333333333335,0.1916965533696432,0.006158202768697449,0.08680976211093366,0.8626230359077454
46,min_distance,2.8174691001836565,0.8117466409303603,0.18782053049549619,0.9776283333333333,0.2640389032132689,0.004841666666666666,0.1653246670040405,0.011119942390526731,0.10821548578950266,1.0
46,random,3.137036427059882,0.6596559460969489,0.33780760361372,0.37504666666666686,0.26090630209881605,0.585325,0.0961454908281286,0.014784770882997825,0.0888678431045264,1.0
46,joint_greedy,4.2043473267051255,0.5819434375197521,0.4175760577194028,0.9470216666666668,0.16340363205658898,0.003658333333333333,0.4970959802192117,0.0,0.0,0.037045832723379135
46,full_local,4.212274095404679,0.573041739934284,0.42631124038309987,0.9335183333333333,0.16713906000375778,0.0035249999999999995,0.4905568961509541,0.0,0.0,0.0
